tbl;Year;quarter;citymarketid;cityname;airportid;apt;TotalMkts;TotalFaredPax;TotalPerLFMkts;TotalAvgHubFare;TotalPerPrem;SHMkts;SHPax;SHPerLFMkts;SHAvgHubFare;SHPerPrem;LHMkts;LHPax;LHPerLFMkts;LHAvgHubFare;LHPerPrem;tbl7pk
Table 7;2022;3;30581;Bangor, ME;10581;BGR;50;166,070;0.1419;303.34;0.1004;12;54,260;0.0000;277.49;0.4214;38;111,810;0.2108;315.89;0.0038;2022310581BGR
Table 7;2022;3;30599;Birmingham, AL;10599;BHM;74;491,530;0.7764;279.78;0.1243;40;304,450;0.6866;242.10;0.0838;34;187,080;0.9225;341.09;0.1750;2022310599BHM
Table 7;2022;3;30620;Billings, MT;10620;BIL;37;115,800;0.1414;296.09;0.0959;6;46,120;0.0000;263.13;0.1251;31;69,680;0.2349;317.90;0.0805;2022310620BIL
Table 7;2022;3;30627;Bismarck/Mandan, ND;10627;BIS;16;57,320;0.5818;230.59;-0.0859;4;17,820;0.4372;244.12;0.2931;12;39,500;0.6471;224.49;-0.2009;2022310627BIS
Table 7;2022;3;30693;Nashville, TN;10693;BNA;130;3,390,000;0.9624;216.27;-0.0274;69;1,782,030;0.9432;186.44;-0.0616;61;1,607,970;0.9838;249.33;0.0028;2022310693BNA
Table 7;2022;3;30713;Boise, ID;10713;BOI;82;866,460;0.6498;218.08;-0.1094;28;590,240;0.6349;163.99;-0.1666;54;276,220;0.6815;333.67;-0.0402;2022310713BOI
Table 7;2022;3;30721;Boston, MA (Metropolitan Area);10721;BOS;151;6,210,770;0.9563;258.39;0.0209;38;1,663,640;0.9433;172.41;0.0437;113;4,547,130;0.9610;289.85;0.0161;2022310721BOS
Table 7;2022;3;30747;Brownsville, TX;10747;BRO;13;18,410;0.0000;338.77;0.2350;3;8,950;0.0000;254.27;0.4688;10;9,460;0.0000;418.72;0.1315;2022310747BRO
Table 7;2022;3;30781;Baton Rouge, LA;10781;BTR;33;78,970;0.0000;270.98;0.1038;10;46,510;0.0000;238.73;0.2379;23;32,460;0.0000;317.20;-0.0116;2022310781BTR
Table 7;2022;3;30785;Burlington, VT;10785;BTV;51;256,110;0.5354;284.30;0.0420;13;79,030;0.2479;207.68;0.2807;38;177,080;0.6637;318.49;-0.0116;2022310785BTV
Table 7;2022;3;30792;Buffalo, NY;10792;BUF;72;892,320;0.8448;227.25;-0.0455;31;395,310;0.7063;200.69;0.0937;41;497,010;0.9549;248.37;-0.1177;2022310792BUF
Table 7;2022;3;32575;Los Angeles, CA (Metropolitan Area);10800;BUR;175;1,265,950;0.9715;175.52;-0.0874;26;753,060;0.9968;123.14;-0.1765;149;512,890;0.9343;252.44;-0.0106;2022310800BUR
Table 7;2022;3;30852;Washington, DC (Metropolitan Area);10821;BWI;160;3,164,540;0.9726;214.05;-0.0543;64;1,244,860;0.9668;169.14;-0.0118;96;1,919,680;0.9763;243.17;-0.0723;2022310821BWI
Table 7;2022;3;30849;Bozeman, MT;10849;BZN;73;515,990;0.7077;299.87;0.0515;7;99,880;0.5792;198.16;0.0031;66;416,110;0.7385;324.28;0.0590;2022310849BZN
Table 7;2022;3;30868;Columbia, SC;10868;CAE;50;156,770;0.0000;302.40;0.1619;26;92,520;0.0000;257.06;0.1776;24;64,250;0.0000;367.68;0.1465;2022310868CAE
Table 7;2022;3;30647;Cleveland, OH (Metropolitan Area);10874;CAK;91;92,050;0.4564;216.76;-0.0351;40;45,810;0.3866;195.81;-0.0445;51;46,240;0.5255;237.52;-0.0273;2022310874CAK
Table 7;2022;3;30980;Chattanooga, TN;10980;CHA;42;113,190;0.0506;306.17;0.1829;20;65,760;0.0871;261.08;0.1639;22;47,430;0.0000;368.69;0.2022;2022310980CHA
Table 7;2022;3;30990;Charlottesville, VA;10990;CHO;27;57,630;0.0000;283.18;0.0602;13;39,180;0.0000;231.05;0.1142;14;18,450;0.0000;393.89;-0.0001;2022310990CHO
Table 7;2022;3;30994;Charleston, SC;10994;CHS;89;1,023,090;0.7300;214.48;-0.0940;46;585,670;0.6930;177.79;-0.1479;43;437,420;0.7796;263.61;-0.0391;2022310994CHS
Table 7;2022;3;31003;Cedar Rapids/Iowa City, IA;11003;CID;47;196,730;0.5048;242.63;-0.0675;7;63,270;0.5312;220.47;-0.0335;40;133,460;0.4923;253.14;-0.0808;2022311003CID
Table 7;2022;3;30647;Cleveland, OH (Metropolitan Area);11042;CLE;96;1,647,160;0.8457;227.68;-0.0056;44;685,850;0.6422;204.30;0.1129;52;961,310;0.9909;244.36;-0.0650;2022311042CLE
Table 7;2022;3;31057;Charlotte, NC;11057;CLT;136;2,921,260;0.5465;264.79;0.2141;85;1,878,980;0.4782;225.00;0.2385;51;1,042,280;0.6696;336.52;0.1860;2022311057CLT
Table 7;2022;3;31066;Columbus, OH;11066;CMH;90;1,391,460;0.8616;247.77;0.0800;44;606,720;0.7715;223.86;0.2425;46;784,740;0.9313;266.25;-0.0046;2022311066CMH
Table 7;2022;3;30189;Colorado Springs, CO;11109;COS;73;416,870;0.9388;229.45;-0.0803;13;166,480;0.8764;172.76;-0.1787;60;250,390;0.9803;267.14;-0.0304;2022311109COS
Table 7;2022;3;31140;Corpus Christi, TX;11140;CRP;31;75,050;0.7740;265.99;-0.0157;6;29,870;0.5340;218.99;0.1195;25;45,180;0.9327;297.07;-0.0704;2022311140CRP
Table 7;2022;3;31146;Charleston/Dunbar, WV;11146;CRW;19;25,950;0.3333;274.85;0.0474;10;19,480;0.3398;232.44;-0.0153;9;6,470;0.3138;402.52;0.1777;2022311146CRW
Table 7;2022;3;33105;Cincinnati, OH;11193;CVG;97;1,445,230;0.8143;222.71;-0.0300;47;553,800;0.7647;203.32;0.0352;50;891,430;0.8451;234.76;-0.0618;2022311193CVG
Table 7;2022;3;31252;Daytona Beach, FL;11252;DAB;23;43,190;0.0000;284.70;0.1592;5;17,730;0.0000;263.15;0.3638;18;25,460;0.0000;299.71;0.0618;2022311252DAB
Table 7;2022;3;30194;Dallas/Fort Worth, TX;11259;DAL;143;2,147,320;0.9971;199.83;-0.0327;40;908,700;0.9989;174.83;-0.0377;103;1,238,620;0.9958;218.17;-0.0298;2022311259DAL
Table 7;2022;3;31267;Dayton, OH;11267;DAY;51;164,040;0.0911;276.98;0.0684;23;89,940;0.0000;246.63;0.1279;28;74,100;0.2018;313.82;0.0171;2022311267DAY
Table 7;2022;3;30852;Washington, DC (Metropolitan Area);11278;DCA;161;4,021,680;0.6149;235.66;0.0869;67;1,900,010;0.4638;192.93;0.1415;94;2,121,670;0.7502;273.93;0.0550;2022311278DCA
Table 7;2022;3;30325;Denver, CO;11292;DEN;176;8,381,440;0.9541;221.39;0.0005;48;1,972,560;0.9540;172.43;-0.0882;128;6,408,880;0.9542;236.46;0.0229;2022311292DEN
Table 7;2022;3;30194;Dallas/Fort Worth, TX;11298;DFW;185;5,833,260;0.5926;258.24;0.1856;64;1,357,570;0.3353;223.81;0.1878;121;4,475,690;0.6707;268.69;0.1851;2022311298DFW
Table 7;2022;3;31337;Duluth, MN;11337;DLH;11;12,880;0.4767;335.78;0.2878;2;4,730;0.0000;270.89;0.4853;9;8,150;0.7534;373.44;0.2196;2022311337DLH
Table 7;2022;3;30285;Durango, CO;11413;DRO;22;36,310;0.2782;391.22;0.8721;9;22,980;0.4395;344.80;1.4745;13;13,330;0.0000;471.24;0.4323;2022311413DRO
Table 7;2022;3;31423;Des Moines, IA;11423;DSM;72;515,840;0.8242;232.97;-0.0453;15;140,130;0.6643;219.01;0.1282;57;375,710;0.8838;238.17;-0.0932;2022311423DSM
Table 7;2022;3;31295;Detroit, MI;11433;DTW;123;3,528,280;0.7890;256.47;0.1397;66;1,588,430;0.6164;219.99;0.2335;57;1,939,850;0.9303;286.34;0.0877;2022311433DTW
Table 7;2022;3;31481;Panama City, FL;11481;ECP;58;279,040;0.8270;256.09;0.0622;20;154,200;0.7506;225.18;0.0220;38;124,840;0.9214;294.28;0.1032;2022311481ECP
Table 7;2022;3;31503;Eagle, CO;11503;EGE;9;21,900;0.0000;464.64;0.6619;1;11,800;0.0000;421.81;0.8029;8;10,100;0.0000;514.68;0.5462;2022311503EGE
Table 7;2022;3;30615;El Paso, TX;11540;ELP;76;712,970;0.9255;228.64;-0.0720;21;404,740;0.9180;178.86;-0.1058;55;308,230;0.9353;294.02;-0.0431;2022311540ELP
Table 7;2022;3;31603;Eugene, OR;11603;EUG;51;287,840;0.7197;236.57;-0.1400;9;87,770;0.5788;167.15;-0.2476;42;200,070;0.7815;267.03;-0.1049;2022311603EUG
Table 7;2022;3;31612;Evansville, IN;11612;EVV;12;22,310;0.2412;248.26;0.0549;7;19,920;0.2701;223.42;0.0483;5;2,390;0.0000;455.26;0.0828;2022311612EVV
Table 7;2022;3;31703;New York City, NY (Metropolitan Area);11618;EWR;166;5,315,430;0.5297;262.24;0.0561;50;983,410;0.3416;193.26;0.2381;116;4,332,020;0.5724;277.90;0.0321;2022311618EWR
Table 7;2022;3;31624;Key West, FL;11624;EYW;50;180,270;0.1648;258.89;0.0551;9;49,890;0.0577;211.95;0.0361;41;130,380;0.2057;276.85;0.0608;2022311624EYW
Table 7;2022;3;31637;Fargo, ND;11637;FAR;39;137,560;0.6504;275.12;0.0258;4;36,090;0.6509;225.01;0.1711;35;101,470;0.6502;292.95;-0.0079;2022311637FAR
Table 7;2022;3;31638;Fresno, CA;11638;FAT;61;353,060;0.6901;268.47;-0.0275;14;160,780;0.6683;187.29;0.0262;47;192,280;0.7083;336.36;-0.0507;2022311638FAT
Table 7;2022;3;31641;Fayetteville, NC;11641;FAY;15;20,140;0.0000;278.84;0.1126;7;10,690;0.0000;230.20;0.1938;8;9,450;0.0000;333.86;0.0566;2022311641FAY
Table 7;2022;3;31648;Kalispell, MT;11648;FCA;54;229,100;0.2944;350.19;0.2309;3;22,570;0.0000;256.08;0.4795;51;206,530;0.3265;360.47;0.2150;2022311648FCA
Table 7;2022;3;31695;Flagstaff, AZ;11695;FLG;7;8,800;0.0000;286.04;0.5176;6;6,490;0.0000;274.12;0.5918;1;2,310;0.0000;319.53;0.3645;2022311695FLG
Table 7;2022;3;32467;Miami, FL (Metropolitan Area);11697;FLL;149;3,793,930;0.9697;192.65;-0.1643;29;594,690;0.9245;155.41;-0.2007;120;3,199,240;0.9781;199.58;-0.1588;2022311697FLL
Table 7;2022;3;31775;Sioux Falls, SD;11775;FSD;47;179,810;0.5956;241.54;-0.0978;7;51,810;0.5792;215.94;-0.0726;40;128,000;0.6022;251.91;-0.1062;2022311775FSD
Table 7;2022;3;31823;Fort Wayne, IN;11823;FWA;39;100,550;0.4713;234.29;-0.1176;17;33,160;0.1342;261.37;0.1822;22;67,390;0.6372;220.97;-0.2311;2022311823FWA
Table 7;2022;3;31884;Spokane, WA;11884;GEG;77;763,190;0.6986;249.31;-0.0384;12;246,950;0.2528;170.91;-0.0239;65;516,240;0.9119;286.81;-0.0424;2022311884GEG
Table 7;2022;3;31921;Grand Junction, CO;11921;GJT;25;43,270;0.2057;299.66;0.0792;9;22,640;0.3626;234.75;-0.0238;16;20,630;0.0334;370.90;0.1645;2022311921GJT
Table 7;2022;3;31953;Gainesville, FL;11953;GNV;28;48,690;0.0000;287.13;0.1004;7;19,070;0.0000;243.13;0.5364;21;29,620;0.0000;315.46;-0.0354;2022311953GNV
Table 7;2022;3;31973;Gulfport/Biloxi, MS;11973;GPT;27;38,990;0.0000;282.32;0.1429;8;20,530;0.0000;257.81;0.2859;19;18,460;0.0000;309.58;0.0361;2022311973GPT
Table 7;2022;3;31977;Green Bay, WI;11977;GRB;37;77,040;0.3514;345.08;0.3108;8;17,110;0.0000;321.25;1.0694;29;59,930;0.4517;351.88;0.1965;2022311977GRB
Table 7;2022;3;31986;Grand Rapids, MI;11986;GRR;79;636,930;0.7941;254.34;0.0066;32;233,970;0.5851;245.64;0.1301;47;402,960;0.9154;259.39;-0.0504;2022311986GRR
Table 7;2022;3;31995;Greensboro/High Point, NC;11995;GSO;56;253,220;0.1373;276.84;0.1158;33;174,140;0.1997;233.82;0.1545;23;79,080;0.0000;371.59;0.0664;2022311995GSO
Table 7;2022;3;31871;Greenville/Spartanburg, SC;11996;GSP;70;362,420;0.5024;284.96;0.1656;40;220,320;0.4997;239.86;0.1141;30;142,100;0.5066;354.88;0.2250;2022311996GSP
Table 7;2022;3;31895;Great Falls, MT;12003;GTF;14;22,850;0.2236;281.91;0.1952;3;11,220;0.0000;254.84;0.4041;11;11,630;0.4394;308.02;0.0683;2022312003GTF
Table 7;2022;3;34699;Steamboat Springs, CO;12094;HDN;15;15,400;0.8792;298.00;0.2821;1;3,360;1.0000;156.05;-0.0297;14;12,040;0.8455;337.61;0.3375;2022312094HDN
Table 7;2022;3;32124;Hilton Head, SC;12124;HHH;15;27,280;0.0990;251.69;0.1601;10;20,970;0.0000;248.05;0.1927;5;6,310;0.4279;263.80;0.0689;2022312124HHH
Table 7;2022;3;32156;Helena, MT;12156;HLN;7;9,910;0.0000;258.80;0.0494;2;7,790;0.0000;228.11;-0.0167;5;2,120;0.0000;371.54;0.2370;2022312156HLN
Table 7;2022;3;31453;Houston, TX;12191;HOU;161;1,655,900;0.9798;197.10;-0.0890;38;571,020;0.9644;175.45;-0.0583;123;1,084,880;0.9879;208.50;-0.1020;2022312191HOU
Table 7;2022;3;31703;New York City, NY (Metropolitan Area);12197;HPN;141;421,620;0.5725;220.81;0.0806;43;71,160;0.2289;241.52;0.3772;98;350,460;0.6422;216.60;0.0304;2022312197HPN
Table 7;2022;3;32206;Harlingen/San Benito, TX;12206;HRL;37;134,100;0.8968;214.97;-0.0960;9;70,230;0.8267;158.83;-0.1391;28;63,870;0.9738;276.70;-0.0664;2022312206HRL
Table 7;2022;3;30255;Huntsville, AL;12217;HSV;52;189,850;0.1472;331.41;0.3483;24;110,280;0.0413;292.66;0.4928;28;79,570;0.2940;385.12;0.2236;2022312217HSV
Table 7;2022;3;30852;Washington, DC (Metropolitan Area);12264;IAD;158;1,718,680;0.2967;294.22;0.1709;64;575,680;0.2660;194.69;0.2012;94;1,143,000;0.3121;344.34;0.1626;2022312264IAD
Table 7;2022;3;31453;Houston, TX;12266;IAH;165;3,872,160;0.7892;240.72;0.0529;40;669,850;0.5471;205.12;0.1255;125;3,202,310;0.8399;248.16;0.0413;2022312266IAH
Table 7;2022;3;30928;Wichita, KS;12278;ICT;57;266,780;0.7508;249.61;0.0050;14;89,070;0.5254;224.52;0.0896;43;177,710;0.8638;262.19;-0.0274;2022312278ICT
Table 7;2022;3;32280;Idaho Falls, ID;12280;IDA;29;78,170;0.4078;236.44;-0.0697;15;56,480;0.5023;182.67;-0.1861;14;21,690;0.1618;376.47;0.1353;2022312280IDA
Table 7;2022;3;32323;Wilmington, NC;12323;ILM;55;197,980;0.1336;280.98;0.1306;30;129,680;0.2039;229.97;0.1153;25;68,300;0.0000;377.82;0.1488;2022312323ILM
Table 7;2022;3;31703;New York City, NY (Metropolitan Area);12391;ISP;107;236,160;0.9918;168.34;-0.1694;37;54,740;0.9730;159.17;-0.0887;70;181,420;0.9975;171.11;-0.1895;2022312391ISP
Table 7;2022;3;32441;Jackson, WY;12441;JAC;53;232,940;0.0306;408.53;0.3537;9;45,910;0.0000;287.91;0.1890;44;187,030;0.0381;438.13;0.3846;2022312441JAC
Table 7;2022;3;32448;Jackson/Vicksburg, MS;12448;JAN;57;206,830;0.8013;260.05;-0.0155;21;112,370;0.7960;217.48;-0.0557;36;94,460;0.8076;310.68;0.0207;2022312448JAN
Table 7;2022;3;31136;Jacksonville, FL;12451;JAX;95;1,204,320;0.8164;234.96;0.0054;32;412,090;0.8598;204.90;0.0427;63;792,230;0.7938;250.60;-0.0097;2022312451JAX
Table 7;2022;3;31703;New York City, NY (Metropolitan Area);12478;JFK;165;4,572,900;0.9612;282.49;0.0361;50;644,230;0.8510;189.62;0.2817;115;3,928,670;0.9793;297.72;0.0158;2022312478JFK
Table 7;2022;3;32896;Lubbock, TX;12896;LBB;34;147,620;0.9050;216.33;-0.0561;10;94,320;0.8672;179.20;-0.0641;24;53,300;0.9719;282.03;-0.0469;2022312896LBB
Table 7;2022;3;32945;Lexington, KY;12945;LEX;52;170,880;0.2244;288.02;0.1390;24;94,110;0.2239;234.64;0.1288;28;76,770;0.2251;353.45;0.1474;2022312945LEX
Table 7;2022;3;32951;Lafayette, LA;12951;LFT;24;40,230;0.0000;316.34;0.2176;6;21,580;0.0000;277.52;0.4083;18;18,650;0.0000;361.27;0.0867;2022312951LFT
Table 7;2022;3;31703;New York City, NY (Metropolitan Area);12953;LGA;168;5,728,020;0.8053;206.16;0.0126;53;1,452,710;0.6775;198.66;0.2664;115;4,275,310;0.8487;208.71;-0.0491;2022312953LGA
Table 7;2022;3;32600;Little Rock, AR;12992;LIT;66;347,020;0.8559;259.05;0.0114;26;154,550;0.7591;220.45;-0.0097;40;192,470;0.9336;290.04;0.0247;2022312992LIT
Table 7;2022;3;33038;Laredo, TX;13061;LRD;10;19,630;0.3897;234.65;-0.0171;3;7,040;0.0000;266.31;1.0214;7;12,590;0.6076;216.95;-0.2733;2022313061LRD
Table 7;2022;3;33158;Midland/Odessa, TX;13158;MAF;42;213,630;0.7666;233.45;0.0658;13;145,580;0.6672;200.74;0.1002;29;68,050;0.9794;303.42;0.0205;2022313158MAF
Table 7;2022;3;33198;Kansas City, MO;13198;MCI;106;1,879,130;0.9101;235.82;0.0225;32;704,790;0.8341;212.72;0.0369;74;1,174,340;0.9557;249.68;0.0153;2022313198MCI
Table 7;2022;3;31454;Orlando, FL;13204;MCO;143;7,349,110;0.9548;197.13;-0.1381;32;972,200;0.9322;164.25;-0.1267;111;6,376,910;0.9582;202.15;-0.1394;2022313204MCO
Table 7;2022;3;32070;Harrisburg, PA;13230;MDT;46;203,260;0.3843;262.53;-0.0012;13;79,860;0.2509;248.65;0.2224;33;123,400;0.4706;271.50;-0.0988;2022313230MDT
Table 7;2022;3;30977;Chicago, IL;13232;MDW;141;2,726,340;0.9975;185.51;-0.1010;55;968,390;0.9970;164.45;-0.0383;86;1,757,950;0.9977;197.11;-0.1272;2022313232MDW
Table 7;2022;3;33244;Memphis, TN;13244;MEM;82;816,940;0.7829;242.15;0.0070;37;398,570;0.6309;217.43;-0.0031;45;418,370;0.9278;265.70;0.0151;2022313244MEM
Table 7;2022;3;33256;Mission/McAllen/Edinburg, TX;13256;MFE;35;142,930;0.3512;301.36;0.0749;4;26,300;0.0000;278.96;0.3336;31;116,630;0.4303;306.42;0.0337;2022313256MFE
Table 7;2022;3;33264;Medford, OR;13264;MFR;36;155,400;0.2900;234.46;-0.1195;13;95,630;0.4713;164.17;-0.2068;23;59,770;0.0000;346.94;-0.0394;2022313264MFR
Table 7;2022;3;33277;Montgomery, AL;13277;MGM;17;18,400;0.0000;339.78;0.3062;5;10,440;0.0000;321.72;0.4663;12;7,960;0.0000;363.48;0.1592;2022313277MGM
Table 7;2022;3;30721;Boston, MA (Metropolitan Area);13296;MHT;143;303,970;0.8467;224.77;-0.0201;33;89,750;0.6723;208.69;0.1062;110;214,220;0.9197;231.50;-0.0606;2022313296MHT
Table 7;2022;3;32467;Miami, FL (Metropolitan Area);13303;MIA;146;3,725,170;0.8834;228.61;-0.0430;29;555,980;0.6364;204.41;0.0798;117;3,169,190;0.9268;232.85;-0.0594;2022313303MIA
Table 7;2022;3;33342;Milwaukee, WI;13342;MKE;86;1,054,720;0.8631;256.43;0.0705;30;301,530;0.7232;240.85;0.0888;56;753,190;0.9191;262.67;0.0639;2022313342MKE
Table 7;2022;3;33360;Melbourne, FL;13360;MLB;13;25,760;0.1219;240.93;-0.0325;2;12,300;0.0000;239.97;0.1186;11;13,460;0.2333;241.81;-0.1381;2022313360MLB
Table 7;2022;3;33367;Quad Cities, IL (Metropolitan Area);13367;MLI;29;58,950;0.3210;250.07;-0.0498;7;17,240;0.0000;290.57;0.3477;22;41,710;0.4536;233.33;-0.1750;2022313367MLI
Table 7;2022;3;30562;Mobile, AL;13422;MOB;30;48,160;0.0000;329.34;0.2914;6;19,170;0.0000;282.06;0.8064;24;28,990;0.0000;360.60;0.1254;2022313422MOB
Table 7;2022;3;34922;Salinas/Monterey, CA;13476;MRY;19;64,980;0.0737;303.90;0.2180;8;40,520;0.1182;217.41;0.1950;11;24,460;0.0000;447.17;0.2371;2022313476MRY
Table 7;2022;3;33485;Madison, WI;13485;MSN;58;319,820;0.1443;318.07;0.2361;13;78,270;0.0000;289.36;0.2972;45;241,550;0.1910;327.37;0.2196;2022313485MSN
Table 7;2022;3;33486;Missoula, MT;13486;MSO;44;172,890;0.3236;307.16;0.0712;6;50,520;0.5044;218.33;-0.0211;38;122,370;0.2490;343.83;0.0984;2022313486MSO
Table 7;2022;3;31650;Minneapolis/St. Paul, MN;13487;MSP;136;4,124,570;0.9122;250.06;0.1312;42;1,067,350;0.8644;232.91;0.2754;94;3,057,220;0.9288;256.05;0.0920;2022313487MSP
Table 7;2022;3;33495;New Orleans, LA;13495;MSY;104;2,080,800;0.9775;197.98;-0.1306;40;847,190;0.9757;167.21;-0.1488;64;1,233,610;0.9787;219.11;-0.1207;2022313495MSY
Table 7;2022;3;33502;Montrose/Delta, CO;13502;MTJ;24;46,880;0.4953;317.96;0.1648;8;20,800;0.5058;267.48;0.0712;16;26,080;0.4870;358.21;0.2287;2022313502MTJ
Table 7;2022;3;33541;Martha's Vineyard, MA;13541;MVY;15;62,480;0.9979;253.53;0.3255;7;51,410;0.9977;200.56;0.3042;8;11,070;0.9991;499.52;0.3670;2022313541MVY
Table 7;2022;3;33851;Oklahoma City, OK;13851;OKC;84;717,740;0.9173;256.24;0.0218;21;240,530;0.8026;203.45;-0.0836;63;477,210;0.9751;282.85;0.0662;2022313851OKC
Table 7;2022;3;33316;Omaha, NE;13871;OMA;89;830,830;0.9053;250.40;0.0478;18;231,050;0.7010;212.47;0.0697;71;599,780;0.9840;265.01;0.0412;2022313871OMA
Table 7;2022;3;32575;Los Angeles, CA (Metropolitan Area);13891;ONT;176;1,220,020;0.9536;229.54;-0.0565;26;385,140;0.9872;144.68;-0.0720;150;834,880;0.9381;268.68;-0.0526;2022313891ONT
Table 7;2022;3;30977;Chicago, IL;13930;ORD;167;7,529,350;0.5265;237.29;0.1249;71;2,127,950;0.2533;215.38;0.2263;96;5,401,400;0.6342;245.93;0.0937;2022313930ORD
Table 7;2022;3;33667;Norfolk, VA (Metropolitan Area);13931;ORF;98;857,130;0.7718;257.07;-0.0101;48;457,520;0.7189;199.92;-0.0256;50;399,610;0.8322;322.50;0.0012;2022313931ORF
Table 7;2022;3;34004;Everett, WA;14004;PAE;12;129,100;0.0000;192.53;-0.1016;5;47,270;0.0000;150.09;-0.2971;7;81,830;0.0000;217.04;0.0107;2022314004PAE
Table 7;2022;3;34027;West Palm Beach/Palm Beach, FL;14027;PBI;80;999,230;0.8524;234.55;0.0591;14;127,320;0.6333;226.44;0.1464;66;871,910;0.8844;235.73;0.0479;2022314027PBI
Table 7;2022;3;34057;Portland, OR;14057;PDX;119;2,851,740;0.8227;284.57;0.0771;19;619,410;0.5441;192.18;0.1052;100;2,232,330;0.9000;310.21;0.0724;2022314057PDX
Table 7;2022;3;33667;Norfolk, VA (Metropolitan Area);14098;PHF;86;32,350;0.0000;312.98;0.1588;38;15,150;0.0000;261.88;0.0996;48;17,200;0.0000;357.99;0.2005;2022314098PHF
Table 7;2022;3;30466;Phoenix, AZ;14107;PHX;158;5,270,710;0.9381;233.62;-0.0044;37;1,874,430;0.9741;157.06;-0.0281;121;3,396,280;0.9182;275.87;0.0033;2022314107PHX
Table 7;2022;3;30198;Pittsburgh, PA;14122;PIT;102;1,540,030;0.7891;242.26;0.0308;45;666,250;0.6532;202.33;0.0703;57;873,780;0.8927;272.71;0.0097;2022314122PIT
Table 7;2022;3;33728;Pensacola, FL;14193;PNS;70;444,520;0.6481;263.53;0.0351;24;200,260;0.4761;224.13;-0.0280;46;244,260;0.7890;295.83;0.0787;2022314193PNS
Table 7;2022;3;34252;Pasco/Kennewick/Richland, WA;14252;PSC;33;115,840;0.4034;252.93;-0.0604;7;41,560;0.3277;195.56;-0.0717;26;74,280;0.4458;285.03;-0.0560;2022314252PSC
Table 7;2022;3;34262;Palm Springs, CA;14262;PSP;45;274,120;0.5888;233.51;-0.1020;9;103,680;0.6474;145.61;-0.1827;36;170,440;0.5532;286.98;-0.0738;2022314262PSP
Table 7;2022;3;30721;Boston, MA (Metropolitan Area);14307;PVD;145;722,500;0.8161;234.07;0.0344;32;184,470;0.6642;198.99;0.1602;113;538,030;0.8682;246.09;0.0042;2022314307PVD
Table 7;2022;3;34321;Portland, ME;14321;PWM;70;537,180;0.6964;280.81;0.1154;18;193,140;0.6258;220.97;0.2768;52;344,040;0.7361;314.41;0.0624;2022314321PWM
